x,exp,gauss,sph,matern
0.0,0.0,0.0,0.0,0.0
1010.10101010101,0.028372412067957986,0.0010871012286488373,0.018134893742729266,0.005114886598390107
2020.20202020202,0.05571271054072556,0.004338835321514019,0.03626043092953367,0.016068113491544595
3030.30303030303,0.08205844099147526,0.009726633761570092,0.05436725500448834,0.03059065015839907
4040.40404040404,0.10744578318435272,0.017203347019151945,0.07244600941166841,0.04757063238538206
5050.50505050505,0.13190960075901098,0.02670393156199507,0.09048733759514904,0.06628670972110927
6060.60606060606,0.15548348910775134,0.03814639196336817,0.10848188299900531,0.08622385259081056
7070.707070707071,0.17819982151102046,0.051432959023838785,0.1264202890673124,0.10699551410150858
8080.80808080808,0.2000897935946199,0.06645148023493878,0.1442931992441454,0.12830283043227278
9090.90909090909,0.2211834661696789,0.08307699493656195,0.16209125697357954,0.14991037224988324
10101.0101010101,0.24150980651422238,0.10117346324937124,0.17980510569968988,0.1716304758625725
11111.111111111111,0.26109672815302365,0.12059561537187782,0.19742538886655153,0.19331249457669758
12121.21212121212,0.27997112919037187,0.14119088616828168,0.21494274991823964,0.21483508795673054
13131.31313131313,0.2981589292483934,0.16280139916172695,0.23234783229882944,0.2361004960385643
14141.414141414141,0.31568510506165465,0.18526596408721768,0.24963127945239594,0.25703016994221006
15151.51515151515,0.33257372477692754,0.20842205302343036,0.26678373482301426,0.2775613636508756
16161.61616161616,0.3488479810052194,0.23210772176443548,0.28379584185475965,0.29764442760952475
17171.71717171717,0.36453022267145707,0.25616344544156117,0.30065824399170726,0.31724062778664375
18181.81818181818,0.3796419857055638,0.2804338403751369,0.3173615846779321,0.33632036659230374
19191.91919191919,0.3942040226170751,0.30476924762408747,0.3338965073575093,0.35486171673516154
20202.0202020202,0.40823633099390866,0.32902715759611967,0.3502536554745142,0.3728492025956631
21212.121212121212,0.4217581809644232,0.35307345926373696,0.3664236724730217,0.390272780019905
22222.222222222223,0.434788141660481,0.37678350188010773,0.38239720179710696,0.4071269770452598
23232.32323232323,0.4473441067178535,0.4000429614838094,0.3981648868908452,0.4234101664877351
24242.42424242424,0.45944331884898865,0.4227485088076112,0.41371737119831165,0.43912394753869555
25252.52525252525,0.47110239352188704,0.4448082793570234,0.4290452981635812,0.45427261818558035
26262.62626262626,0.48233734177760196,0.46614215030383666,0.44413931123072925,0.46886272382594246
27272.727272727272,0.49316359221769884,0.4866818323663043,0.4589900538438307,0.4829026701878354
28282.828282828283,0.5035960121918702,0.5063707879542201,0.4735881694469608,0.4964023908130038
29292.92929292929,0.5136489282147987,0.525163989493475,0.4879243014841946,0.5093730610524225
30303.0303030303,0.5233361456403107,0.54302753397703,0.5019890933996073,0.521826851874607
31313.13131313131,0.5326709676198352,0.5599381314005843,0.5157731886372742,0.5337767178749906
32323.23232323232,0.5416662133712026,0.5758824858303999,0.5292672306412701,0.5452362147581958
33333.33333333333,0.5503342357828757,0.5908565884314112,0.5424618628556702,0.5562193422881984
34343.43434343434,0.5586869383777818,0.60486494188271,0.5553477287245501,0.5667404092976094
35353.53535353535,0.5667357916600481,0.6179197352628086,0.5679154716919843,0.5768139178420788
36363.63636363636,0.5744918488670838,0.6300399877460118,0.5801557352020482,0.5864544639989571
37373.73737373737,0.5819657611486447,0.6412506783678665,0.5920591626988171,0.595676653156252
38383.83838383838,0.5891677921937221,0.6515818777508162,0.6036163976263658,0.6044950279307296
39393.93939393939,0.5961078323253443,0.6610678960919765,0.6148180834287698,0.6129240071023109
40404.0404040404,0.6027954120826473,0.6697464599648753,0.6256548635501039,0.6209778341634687
41414.14141414141,0.6092397153088644,0.6776579286358847,0.6361173814344434,0.6286705342632606
42424.242424242424,0.6154495917632098,0.6848445587005096,0.6461962805258635,0.6360158784809798
43434.343434343435,0.6214335692739746,0.6913498239566052,0.655882204268439,0.6430273544982509
44444.444444444445,0.6271998654495262,0.6972177955971405,0.6651657961062455,0.6497181428540734
45454.54545454545,0.6327563989632912,0.7024925860639558,0.6740376994833578,0.656101098067603
46464.64646464646,0.6381108004282211,0.707217858288691,0.6824885578438512,0.6621887340006255
47474.74747474747,0.6432704228756736,0.7114364005831344,0.6905090146318009,0.6679932129076394
48484.84848484848,0.6482423518530992,0.7151897661469316,0.6980897132912818,0.6735263376878077
49494.94949494949,0.6530334151544016,0.7185179750473358,0.7052212972663692,0.6787995469111066
50505.0505050505,0.6576501921963317,0.7214592755985577,0.7118944100011382,0.683823912241917
51515.15151515151,0.6620990230537948,0.7240499613266339,0.7180996949396639,0.688610137928043
52525.25252525252,0.6663860171664759,0.7263242391439221,0.7238277955260213,0.6931685620624962
53535.35353535353,0.6705170617287417,0.7283141439655471,0.7290693552042858,0.6975091593600642
54545.454545454544,0.674497829774339,0.7300494947652086,0.7338150174185325,0.7016415452212857
55555.555555555555,0.6783337879669948,0.7315578869740734,0.7380554256128363,0.7055749808834746
56565.656565656565,0.6820302041076127,0.7328647161566877,0.7417812232312727,0.7093183794823379
57575.757575757576,0.6855921543683798,0.7339932280336925,0.7449830537179166,0.7128803128688816
58585.85858585858,0.6890245302637131,0.7349645901440867,0.7476515605168431,0.7162690190450288
59595.95959595959,0.6923320453676237,0.7357979807316744,0.7497773870721274,0.71949241009798
60606.0606060606,0.6955192417867194,0.7365106907837765,0.7513511768278446,0.7225580805280644
61616.16161616161,0.6985904963977371,0.7371182355291522,0.7523635732280699,0.725473315877894
62626.26262626262,0.7015500268581705,0.7376344721017042,0.7528052197168783,0.7282451015822232
63636.36363636363,0.7044018973982461,0.7380717204840225,0.752825407870185,0.7308801319682023
64646.46464646464,0.7071500244022034,0.7384408852490527,0.752825407870185,0.7333848193448472
65656.56565656565,0.7097981817865422,0.7387515760099074,0.752825407870185,0.7357653031286545
66666.66666666666,0.7123500061826233,0.7390122248597,0.752825407870185,0.7380274589594857
67676.76767676767,0.7148090019307412,0.7392301994295981,0.752825407870185,0.7401769077672263
68686.86868686868,0.7171785458925226,0.7394119105100599,0.752825407870185,0.7422190247553907
69696.9696969697,0.7194618920882664,0.7395629134648906,0.752825407870185,0.7441589482728618
70707.0707070707,0.7216621761655866,0.7396880029190692,0.752825407870185,0.7460015885494006
71717.17171717172,0.7237824197054987,0.7397913004191191,0.752825407870185,0.7477516362744987
72727.27272727272,0.7258255343718621,0.7398763349498766,0.752825407870185,0.7494135710026246
73737.37373737374,0.727794325909877,0.7399461163453758,0.752825407870185,0.7509916693709935
74747.47474747474,0.7296914979991255,0.740003201756243,0.752825407870185,0.7524900131186959
75757.57575757576,0.7315196559664502,0.7400497554339505,0.752825407870185,0.7539124968984173
76767.67676767676,0.7332813103637679,0.7400876021661895,0.752825407870185,0.7552628358740715
77777.77777777777,0.7349788804157311,0.7401182747503368,0.752825407870185,0.7565445730995186
78787.87878787878,0.7366146973419742,0.7401430559263105,0.752825407870185,0.7577610866751495
79797.97979797979,0.738191007558503,0.7401630152088478,0.752825407870185,0.7589155966805236
80808.0808080808,0.7397099757626283,0.7401790410649977,0.752825407870185,0.7600111718824711
81818.18181818181,0.7411736879056764,0.7401918688778826,0.752825407870185,0.7610507362191355
82828.28282828283,0.74258415405756,0.740202105124757,0.752825407870185,0.7620370750613399
83838.38383838383,0.7439433111671447,0.74021024817811,0.752825407870185,0.7629728412534549
84848.48484848485,0.7452530257222,0.7402167061147289,0.752825407870185,0.7638605609366123
85858.58585858585,0.746515096312588,0.7402218118908174,0.752825407870185,0.7647026391576761
86868.68686868687,0.7477312561002106,0.740225836212664,0.752825407870185,0.7655013652678636
87878.78787878787,0.7489031751991064,0.740228998403069,0.752825407870185,0.766258918115303
88888.88888888889,0.7500324629689654,0.7402314755345676,0.752825407870185,0.7669773710361399
89898.9898989899,0.7511206702252129,0.7402334100721049,0.752825407870185,0.7676586966490683
90909.0909090909,0.7521692913686945,0.740234916240705,0.752825407870185,0.7683047714583648
91919.19191919192,0.7531797664378911,0.7402360853081827,0.752825407870185,0.7689173802706668
92929.29292929292,0.7541534830864776,0.7402369899492968,0.752825407870185,0.7694982204308387
93939.39393939394,0.7550917784889443,0.7402376878360741,0.752825407870185,0.7700489058823611
94949.49494949494,0.7559959411768968,0.7402382245793838,0.752825407870185,0.7705709710577021
95959.59595959596,0.7568672128085564,0.7402386361291989,0.752825407870185,0.7710658746041592
96969.69696969696,0.7577067898738891,0.7402389507252953,0.752825407870185,0.7715350029506347
97979.79797979798,0.7585158253377089,0.740239190476285,0.752825407870185,0.7719796737207847
98989.89898989898,0.7592954302230075,0.7402393726327668,0.752825407870185,0.7724011389979194
100000.0,0.7600466751366878,0.7402395106098456,0.752825407870185,0.7728005884469721
